,index,name,minutes,n_steps,ingredients,n_ingredients,ingredients_clean_processed,type
237,4381,amanda s thai peanut,25,12,"['fettuccine', 'broccoli', 'carrot', 'garlic', 'red pepper flakes', 'ground ginger', 'brown sugar', 'low sodium soy sauce', 'rice wine vinegar', 'reduced-fat peanut butter']",10,fettuccine broccoli carrot garlic red pepper flakes ground ginger brown sugar low sodium soy sauce rice wine vinegar reduced fat peanut butter,snacks
239,4385,amara veggie burgers,40,2,"['rice', 'peanut butter', 'whole wheat flour', 'sesame seeds', 'sunflower seeds', 'carrot', 'green pepper']",7,rice peanut butter whole wheat flour sesame seeds sunflower seeds carrot green pepper,snacks
246,4399,amaranth sunflower spelt bread,90,14,"['water', 'amaranth', 'sea salt', 'sunflower seeds', 'spelt flour', 'cornmeal', 'baking powder', 'baking soda', 'soymilk', 'olive oil', 'apple cider vinegar', 'maple syrup']",12,water amaranth sea salt sunflower seeds spelt flour cornmeal baking powder baking soda soymilk olive oil apple cider vinegar maple syrup,snacks
251,4675,amazing peanut butter cookies,27,3,"['non-hydrogenated vegan margarine', 'vegetable shortening', 'unbleached cane sugar', 'brown sugar', 'non-hydrogenated peanut butter', 'vanilla-flavored soy yogurt', 'flour', 'baking soda', 'baking powder', 'salt']",10,non hydrogenated vegan margarine vegetable shortening unbleached cane sugar brown sugar non hydrogenated peanut butter vanilla flavored soy yogurt flour baking soda baking powder salt,desserts
267,5157,ana gourmet  oat bran pancakes,20,7,"['oat bran', 'whole wheat flour', 'baking powder', 'baking soda', 'ground cinnamon', 'salt', 'almond breeze non-dairy beverage', 'water', 'vegetable oil', 'vanilla extract', 'maple extract', 'liquid stevia']",12,oat bran whole wheat flour baking powder baking soda ground cinnamon salt almond breeze non dairy beverage water vegetable oil vanilla extract maple extract liquid stevia,snacks
269,5171,ancho and chipotle mole,60,24,"['ancho chilies', 'dried chipotle chiles', 'boiling water', 'red bell peppers', 'cloves', 'cumin seeds', 'cinnamon stick', 'sunflower seeds', 'extra virgin olive oil', 'garlic cloves', 'tomato paste', 'bittersweet chocolate', 'salt']",13,ancho chilies dried chipotle chiles boiling water red bell peppers cloves cumin seeds cinnamon stick sunflower seeds extra virgin olive oil garlic cloves tomato paste bittersweet chocolate salt,snacks
279,5538,ani s all american apple pie,30,19,"['almonds', 'sea salt', 'pitted dates', 'orange', 'water', 'apples', 'raisins', 'ground cinnamon']",8,almonds sea salt pitted dates orange water apples raisins ground cinnamon,other
288,5767,another healthy peanut butter cookie,20,8,"['oats', 'wheat flour', 'natural-style peanut butter', 'unsweetened applesauce', 'honey']",5,oats wheat flour natural style peanut butter unsweetened applesauce honey,snacks
307,6362,apple butterflies,15,12,"['peanut butter', 'baby carrots', 'red apple', 'celery', 'decorator sugar']",5,peanut butter baby carrots red apple celery decorator sugar,snacks
313,6525,apple cinnamon bread  raw  vegan,750,6,"['flax seeds', 'almonds', 'raisins', 'apples', 'vanilla', 'cinnamon', 'sea salt']",7,flax seeds almonds raisins apples vanilla cinnamon sea salt,snacks
316,6562,apple cinnamon quinoa   cereal,20,7,"['quinoa', 'water', 'granny smith apple', 'raisins', 'almonds', 'cinnamon', 'soy margarine', 'maple syrup']",8,quinoa water granny smith apple raisins almonds cinnamon soy margarine maple syrup,snacks
321,6703,apple crumble  gluten  dairy and egg free,45,8,"['apples', 'water', 'sugar', 'cinnamon', 'gluten-free self-raising flour', 'sliced almonds', 'brown sugar', 'vegan margarine']",8,apples water sugar cinnamon gluten free self raising flour sliced almonds brown sugar vegan margarine,desserts
326,6881,apple ladybug treats,10,10,"['sweet red apples', 'lemon juice', 'water', 'lettuce leaves', 'raisins', 'cheerios toasted oat cereal', 'peanut butter', 'pretzel sticks']",8,sweet red apples lemon juice water lettuce leaves raisins cheerios toasted oat cereal peanut butter pretzel sticks,snacks
332,6948,apple oatmeal  crock pot,490,5,"['steel cut oats', 'oat bran', 'apples', 'cinnamon', 'vanilla', 'water', 'cranberry juice', 'walnuts', 'wheat germ']",9,steel cut oats oat bran apples cinnamon vanilla water cranberry juice walnuts wheat germ,light_meal
341,7303,apple spice hummus,5,4,"['garbanzo beans', 'golden delicious apple', 'fresh lemon juice', 'creamy peanut butter', 'water', 'salt', 'apple pie spice', 'cayenne pepper']",8,garbanzo beans golden delicious apple fresh lemon juice creamy peanut butter water salt apple pie spice cayenne pepper,snacks
359,7958,apricot and almond stew with rice,35,11,"['dried apricots', 'water', 'onion', 'sugar', 'slivered almonds', 'tomato paste', 'salt', 'citric acid', 'oil', 'rice']",10,dried apricots water onion sugar slivered almonds tomato paste salt citric acid oil rice,main_meal
367,8121,apricot granola,30,6,"['vegan margarine', 'sucanat', 'rolled oats', 'wheat bran', 'whole wheat flour', 'sesame seeds', 'sunflower seeds', 'nuts', 'cinnamon', 'raisins', 'dried apricot']",11,vegan margarine sucanat rolled oats wheat bran whole wheat flour sesame seeds sunflower seeds nuts cinnamon raisins dried apricot,snacks
372,8177,apricot orange balls,90,10,"['prunes', 'dried apricots', 'raisins', 'orange juice', 'orange zest', 'desiccated coconut', 'almonds']",7,prunes dried apricots raisins orange juice orange zest desiccated coconut almonds,snacks
417,9037,ashkenazi charoset,5,2,"['apples', 'almonds', 'cinnamon', 'red wine']",4,apples almonds cinnamon red wine,desserts
436,9550,asian sunflower seed spread,20,3,"['sunflower seeds', 'poppy seed', 'sesame seeds', 'lemon, juice of', 'garlic cloves', 'fresh ginger', 'soy sauce', 'tahini', 'mirin']",9,sunflower seeds poppy seed sesame seeds lemon juice garlic cloves fresh ginger soy sauce tahini mirin,snacks
452,9926,asparagus with almond butter sauce,18,8,"['salt', 'asparagus spears', 'red pepper', 'almond butter', 'tamari', 'coconut sugar crystals', 'lemon juice', 'hot water', 'pepper']",9,salt asparagus spears red pepper almond butter tamari coconut sugar crystals lemon juice hot water pepper,other
469,10127,atjar ketimun  cucumbers in turmeric,150,12,"['cucumbers', 'salt', 'shallots', 'garlic cloves', 'fresh ginger', 'peanut oil', 'ground almonds', 'turmeric', 'sugar', 'vinegar', 'water']",11,cucumbers salt shallots garlic cloves fresh ginger peanut oil ground almonds turmeric sugar vinegar water,light_meal
511,11205,avocado fudge,25,10,"['avocado', 'earth balance margarine', 'vanilla extract', 'cocoa powder', 'turbinado sugar', 'date sugar', 'walnuts']",7,avocado earth balance margarine vanilla extract cocoa powder turbinado sugar date sugar walnuts,desserts
544,11588,awesome gluten free vegan peanut butter cookies,20,8,"['teff flour', 'sea salt', 'maple syrup', 'canola oil', 'vanilla', 'peanut butter']",6,teff flour sea salt maple syrup canola oil vanilla peanut butter,desserts
565,11927,baby bok choy with peanut butter noodles,20,13,"['whole wheat spaghetti', 'canola oil', 'garlic cloves', 'onion', 'carrot', 'baby bok choy', 'creamy peanut butter', 'hot water', 'soy sauce', 'rice wine vinegar', 'honey', 'lime juice', 'sriracha sauce']",13,whole wheat spaghetti canola oil garlic cloves onion carrot baby bok choy creamy peanut butter hot water soy sauce rice wine vinegar honey lime juice sriracha sauce,snacks
571,12144,backcountry fudge,17,5,"['walnuts', 'powdered sugar', 'semi-sweet chocolate chips', 'peanut butter']",4,walnuts powdered sugar semi sweet chocolate chips peanut butter,snacks
597,13442,baked barley almond pilaf with kale,70,10,"['sesame oil', 'purple onion', 'pearl barley', 'tomato paste', 'chili powder', 'sea salt', 'ground pepper', 'kale', 'water', 'slivered almonds']",10,sesame oil purple onion pearl barley tomato paste chili powder sea salt ground pepper kale water slivered almonds,snacks
615,14120,baked falafel,30,5,"['chickpeas', 'fresh lemon juice', 'onion', 'whole wheat flour', 'wheat germ', 'parsley', 'sesame seeds', 'black pepper', 'garlic powder', 'vegetable oil']",10,chickpeas fresh lemon juice onion whole wheat flour wheat germ parsley sesame seeds black pepper garlic powder vegetable oil,snacks
632,14761,baked peanut butter tofu,100,8,"['extra firm tofu', 'peanut butter', 'low sodium soy sauce', 'boiling water', 'garlic cloves', 'vinegar', 'extra virgin olive oil', 'fresh ginger', 'maple syrup', 'pepper']",10,extra firm tofu peanut butter low sodium soy sauce boiling water garlic cloves vinegar extra virgin olive oil fresh ginger maple syrup pepper,main_meal
640,15251,baked spring rolls,65,16,"['rice vermicelli', 'sesame oil', 'carrot', 'green onion', 'water chestnut', 'bamboo shoot', 'snow peas', 'savoy cabbage', 'sunflower seeds', 'sesame seeds', 'gingerroot', 'soy sauce', 'vegetable oil', 'rice paper']",14,rice vermicelli sesame oil carrot green onion water chestnut bamboo shoot snow peas savoy cabbage sunflower seeds sesame seeds gingerroot soy sauce vegetable oil rice paper,snacks
643,15349,baked sweet potato with topping,65,6,"['sweet potato', 'pure maple syrup', 'raisins', 'sunflower seeds', 'salt and pepper']",5,sweet potato pure maple syrup raisins sunflower seeds salt pepper,light_meal
685,16070,banana   peanut butter ice cream  or pudding    vegan,135,13,"['rice milk', 'white sugar', 'cornstarch', 'peanut butter', 'vanilla extract', 'coconut flavoring', 'bananas']",7,rice milk white sugar cornstarch peanut butter vanilla extract coconut flavoring bananas,desserts
692,16196,banana bomb,10,2,"['bananas', 'raisins', 'currants', 'shredded coconut', 'dates', 'roasted peanuts', 'walnuts', 'carob powder', 'stevia']",9,bananas raisins currants shredded coconut dates roasted peanuts walnuts carob powder stevia,snacks
696,16276,banana breakfast smoothie with peanut butter  extra thick and cr,5,5,"['bananas', 'soymilk', 'peanut butter', 'ice']",4,bananas soymilk peanut butter ice,snacks
697,16292,banana cake,35,8,"['whole wheat pastry flour', 'baking soda', 'salt', 'wheat germ', 'bananas', 'sugar', 'vanilla-flavored soymilk', 'vanilla extract', 'blueberries', 'vegetable oil cooking spray']",10,whole wheat pastry flour baking soda salt wheat germ bananas sugar vanilla flavored soymilk vanilla extract blueberries vegetable oil cooking spray,snacks
699,16353,banana chia crackers,760,7,"['chia seeds', 'water', 'banana', 'salt', 'cinnamon']",5,chia seeds water banana salt cinnamon,snacks
705,16516,banana crunch popsicle  raw vegan,20,4,"['bananas', 'almonds', 'walnuts', 'carob powder', 'dried coconut']",5,bananas almonds walnuts carob powder dried coconut,desserts
711,16552,banana dog,5,3,"['hot dog bun', 'peanut butter', 'strawberry jam', 'banana', 'raisins', 'shredded coconut', 'peanuts']",7,hot dog bun peanut butter strawberry jam banana raisins shredded coconut peanuts,snacks
715,16657,banana mango lumpia,15,4,"['lumpia skins', 'bananas', 'mangoes', 'peanut butter']",4,lumpia skins bananas mangoes peanut butter,snacks
720,16748,banana nut muffins   vegan,30,4,"['whole wheat flour', 'sugar', 'baking powder', 'baking soda', 'salt', 'oat bran', 'walnuts', 'bananas', 'canola oil', 'vanilla extract', 'almond milk']",11,whole wheat flour sugar baking powder baking soda salt oat bran walnuts bananas canola oil vanilla extract almond milk,snacks
722,16836,banana pb chocolate shake,3,3,"['banana', 'chocolate syrup', 'soymilk', 'peanut butter', 'ice cube']",5,banana chocolate syrup soymilk peanut butter ice cube,snacks
723,16843,banana peanut butter protein shake,5,1,"['natural-style peanut butter', 'banana', 'powdered soy protein concentrate', 'soymilk', 'ice']",5,natural style peanut butter banana powdered soy protein concentrate soymilk ice,snacks
740,17266,banana wheat germ muffins  vegan,42,10,"['soymilk', 'apple cider vinegar', 'bananas', 'canola oil', 'evaporated cane juice', 'pure vanilla extract', 'whole wheat pastry flour', 'wheat germ', 'cinnamon', 'baking powder', 'salt']",11,soymilk apple cider vinegar bananas canola oil evaporated cane juice pure vanilla extract whole wheat pastry flour wheat germ cinnamon baking powder salt,snacks
741,17273,bananaberry baked oatmeal,30,12,"['flax seeds', 'water', 'rolled oats', 'baking powder', 'cinnamon', 'salt', 'bananas', 'almond milk', 'vanilla extract', 'agave nectar', 'blueberries', 'walnuts']",12,flax seeds water rolled oats baking powder cinnamon salt bananas almond milk vanilla extract agave nectar blueberries walnuts,snacks
745,17397,banilla ice cream  raw food,20,3,"['bananas', 'peanut butter', 'agave nectar', 'vanilla', 'sea salt']",5,bananas peanut butter agave nectar vanilla sea salt,desserts
776,18136,barley pine nut casserole,495,4,"['pearl barley', 'v8 vegetable juice', 'salt', 'pepper', 'celery ribs', 'bell pepper', 'onion', 'vegetable broth', 'green onions', 'pine nuts']",10,pearl barley v8 vegetable juice salt pepper celery ribs bell pepper onion vegetable broth green onions pine nuts,snacks
832,19227,bbq gluten strips,55,23,"['vital wheat gluten', 'smoked paprika', 'nutritional yeast', 'onion powder', 'garlic powder', 'water', 'peanut butter', 'liquid smoke', 'soy sauce', 'barbecue sauce']",10,vital wheat gluten smoked paprika nutritional yeast onion powder garlic powder water peanut butter liquid smoke soy sauce barbecue sauce,main_meal
841,19544,bean and pumpkin curry,30,8,"['pumpkin', 'fresh green beans', 'coconut milk', 'thai red curry paste', 'bamboo shoot', 'lemon grass root', 'peanut butter', 'sugar', 'basil leaves']",9,pumpkin fresh green beans coconut milk thai red curry paste bamboo shoot lemon grass root peanut butter sugar basil leaves,main_meal
846,19595,bean nut butter,10,2,"['garbanzo beans', 'peanut butter', 'hot water']",3,garbanzo beans peanut butter hot water,main_meal
847,19596,bean pate,20,3,"['vegetable oil', 'onion', 'garlic cloves', 'peanut butter', 'lemon juice', 'fresh parsley', 'butter beans']",7,vegetable oil onion garlic cloves peanut butter lemon juice fresh parsley butter beans,snacks
880,21447,beet this burger,30,2,"['raw beet', 'cooked oats', 'oats', 'walnuts', 'almonds', 'sesame seeds', 'seasoning', 'green pepper', 'celery', 'onion', 'dried basil', 'dried thyme', 'ground sage', 'mustard powder', 'soy sauce']",15,raw beet cooked oats oats walnuts almonds sesame seeds seasoning green pepper celery onion dried basil dried thyme ground sage mustard powder soy sauce,snacks
881,21452,beet  barley   walnut salad,60,16,"['pearl barley', 'sea salt', 'beets', 'red wine vinegar', 'fresh garlic cloves', 'dijon mustard', 'salt', 'pepper', 'olive oil', 'walnut oil', 'walnuts', 'arugula']",12,pearl barley sea salt beets red wine vinegar fresh garlic cloves dijon mustard salt pepper olive oil walnut oil walnuts arugula,snacks
906,21912,berry breakfast power bar,40,8,"['dessert apples', 'lemon juice', 'soft margarine', 'dark brown sugar', 'golden syrup', 'oats', 'oat bran', 'ground flax seeds', 'dried cranberries', 'dried blueberries', 'sesame seeds', 'sunflower seeds', 'brazil nuts']",13,dessert apples lemon juice soft margarine dark brown sugar golden syrup oats oat bran ground flax seeds dried cranberries dried blueberries sesame seeds sunflower seeds brazil nuts,snacks
908,21968,berry frost pie  raw food,10,7,"['walnuts', 'almonds', 'dates', 'ground cinnamon', 'blueberries', 'strawberries', 'almond milk']",7,walnuts almonds dates ground cinnamon blueberries strawberries almond milk,desserts
934,22883,best wacky cake ever with chocolate glaze,40,15,"['flour', 'sugar', 'unsweetened cocoa powder', 'baking soda', 'salt', 'warm water', 'vanilla extract', 'chocolate extract', 'canola oil', 'white vinegar', 'chocolate glaze', 'margarine', 'soymilk', 'almond extract']",14,flour sugar unsweetened cocoa powder baking soda salt warm water vanilla extract chocolate extract canola oil white vinegar chocolate glaze margarine soymilk almond extract,desserts
942,23510,big sur high power bars,40,14,"['sunflower oil', 'rolled oats', 'walnuts', 'sliced almonds', 'unsweetened coconut', 'oat bran', 'ground flax seeds', 'crispy rice cereal', 'dried cranberries', 'crystallized ginger', 'sesame seeds', 'brown rice syrup', 'unbleached cane sugar', 'pure vanilla extract', 'sea salt']",15,sunflower oil rolled oats walnuts sliced almonds unsweetened coconut oat bran ground flax seeds crispy rice cereal dried cranberries crystallized ginger sesame seeds brown rice syrup unbleached cane sugar pure vanilla extract sea salt,snacks
943,23542,bihari french cut green bean masala,18,12,"['oil', 'almonds', 'garlic cloves', 'paprika', 'chili flakes', 'cumin', 'coriander', 'onion', 'green beans', 'coconut milk', 'lime juice', 'cilantro']",12,oil almonds garlic cloves paprika chili flakes cumin coriander onion green beans coconut milk lime juice cilantro,other
991,24337,black bean sweet potato jumble,25,11,"['olive oil', 'curry powder', 'cinnamon', 'sweet potato', 'onions', 'garlic cloves', 'red bell pepper', 'paprika', 'black beans', 'peanut butter', 'warm water', 'lime, juice of', 'brown sugar', 'salt and pepper']",14,olive oil curry powder cinnamon sweet potato onions garlic cloves red bell pepper paprika black beans peanut butter warm water lime juice brown sugar salt pepper,snacks
1015,24567,black forest pumpernickel bread machine  loaf,190,9,"['warm water', 'molasses', 'canola oil', 'bread flour', 'rye flour', 'whole wheat flour', 'salt', 'cocoa powder', 'caraway seeds', 'active dry yeast']",10,warm water molasses canola oil bread flour rye flour whole wheat flour salt cocoa powder caraway seeds active dry yeast,snacks
1054,25785,blueberry applesauce  vegitarian friendly,35,11,"['apple', 'fresh blueberries', 'cinnamon stick', 'lemon zest', 'fresh lemon juice', 'pomegranate molasses', 'unsweetened apple juice', 'almond extract', 'honey', 'dark brown sugar']",10,apple fresh blueberries cinnamon stick lemon zest fresh lemon juice pomegranate molasses unsweetened apple juice almond extract honey dark brown sugar,desserts
1068,26301,blueberry snack mix,20,6,"['whole almond', 'walnut pieces', 'roasted soybeans', 'dried blueberries', 'candied ginger']",5,whole almond walnut pieces roasted soybeans dried blueberries candied ginger,snacks
1092,26854,bombay rice   lentils,70,12,"['onion', 'salad oil', 'rice', 'tomato paste', 'water', 'cinnamon', 'lentils', 'salt', 'raisins', 'pine nuts']",10,onion salad oil rice tomato paste water cinnamon lentils salt raisins pine nuts,snacks
1113,27991,brazilian garlic rice,60,8,"['olive oil', 'garlic', 'pumpkin seeds', 'long grain rice', 'onion', 'water', 'salt', 'hot sauce']",8,olive oil garlic pumpkin seeds long grain rice onion water salt hot sauce,snacks
1122,28208,bread poha,30,6,"['bread', 'peas', 'peanuts', 'oil', 'asafoetida powder', 'mustard seeds', 'curry leaves', 'red chilies', 'turmeric', 'salt', 'green chili', 'water', 'sugar', 'lemon juice', 'coriander leaves', 'fresh coconut', 'lemon wedge']",17,bread peas peanuts oil asafoetida powder mustard seeds curry leaves red chilies turmeric salt green chili water sugar lemon juice coriander leaves fresh coconut lemon wedge,breakfast
1127,28380,breakfast  bulgur,18,6,"['bulgur', 'cold water', 'dried fruit', 'nuts', 'cinnamon', 'sunflower seeds', 'brown rice syrup']",7,bulgur cold water dried fruit nuts cinnamon sunflower seeds brown rice syrup,snacks
1139,28852,brie cheeze  vegan,30,13,"['wheat germ', 'water', 'agar-agar flakes', 'raw cashews', 'firm silken tofu', 'nutritional yeast flakes', 'fresh lemon juice', 'tahini', 'onion powder', 'salt', 'garlic powder', 'dill seeds']",12,wheat germ water agar agar flakes raw cashews firm silken tofu nutritional yeast flakes fresh lemon juice tahini onion powder salt garlic powder dill seeds,snacks
1144,29009,british peanut butter cookies,20,6,"['soft margarine', 'smooth peanut butter', 'caster sugar', 'demerara sugar', 'plain flour', 'salt']",6,soft margarine smooth peanut butter caster sugar demerara sugar plain flour salt,snacks
1158,29509,broccoli salad with peanut dressing,7,4,"['broccoli florets', 'chunky peanut butter', 'olive oil', 'rice wine vinegar', 'orange juice', 'chili sauce', 'salt', 'fresh ground black pepper']",8,broccoli florets chunky peanut butter olive oil rice wine vinegar orange juice chili sauce salt fresh ground black pepper,snacks
1203,30197,brown rice with fried bananas from angola,90,11,"['brown rice', 'tomato juice', 'water', 'onions', 'green peppers', 'peanut oil', 'curry powder', 'salt', 'pepper', 'tomatoes', 'peanut butter', 'bananas']",12,brown rice tomato juice water onions green peppers peanut oil curry powder salt pepper tomatoes peanut butter bananas,snacks
1213,30717,brussels sprout salad with avocado   pumpkin seeds,15,4,"['lemon juice', 'dijon mustard', 'olive oil', 'salt and pepper', 'brussels sprout', 'pumpkin seeds', 'avocado']",7,lemon juice dijon mustard olive oil salt pepper brussels sprout pumpkin seeds avocado,main_meal
1232,31012,buckwheat fruit bread,220,3,"['water', 'walnut oil', 'molasses', 'buckwheat flour', 'white flour', 'salt', 'cinnamon', 'yeast', 'dates', 'raisins', 'walnuts']",11,water walnut oil molasses buckwheat flour white flour salt cinnamon yeast dates raisins walnuts,snacks
1234,31029,buckwheat soba with miso  squash  smoked tofu    basil,55,11,"['white miso', 'hot water', 'vegetable oil', 'onions', 'salt', 'butternut squash', 'smoked tofu', 'fresh basil leaf', 'soba noodles', 'red pepper flakes', 'pumpkin seeds']",11,white miso hot water vegetable oil onions salt butternut squash smoked tofu fresh basil leaf soba noodles red pepper flakes pumpkin seeds,main_meal
1249,31359,bulgur   black bean summer fruit salad,90,9,"['bulgar wheat', 'water', 'salt', 'ground cinnamon', 'black beans', 'orange juice', 'lemon juice', 'brown sugar', 'fresh mint leaves', 'almonds', 'fresh strawberries', 'fresh blueberries', 'mango']",13,bulgar wheat water salt ground cinnamon black beans orange juice lemon juice brown sugar fresh mint leaves almonds fresh strawberries fresh blueberries mango,snacks
1256,31390,bulgur wheat and roasted vegetable salad,30,11,"['bulgar wheat', 'cold water', 'linseeds', 'sunflower seeds', 'tomatoes', 'garlic clove', 'courgette', 'carrot', 'onion', 'red pepper', 'mushrooms', 'mixed herbs', 'paprika', 'salt', 'black pepper', 'olive oil']",16,bulgar wheat cold water linseeds sunflower seeds tomatoes garlic clove courgette carrot onion red pepper mushrooms mixed herbs paprika salt black pepper olive oil,snacks
1264,31437,bumps on a log,2,3,"['banana', 'peanut butter', 'blueberries']",3,banana peanut butter blueberries,snacks
1276,31675,busy couscous,15,9,"['couscous', 'margarine', 'boiling water', 'soy yogurt', 'olive oil', 'white wine vinegar', 'curry powder', 'turmeric', 'salt', 'fresh ground black pepper', 'cinnamon', 'baby carrots', 'parsley', 'scallion', 'red onion', 'almonds', 'dried cranberries']",17,couscous margarine boiling water soy yogurt olive oil white wine vinegar curry powder turmeric salt fresh ground black pepper cinnamon baby carrots parsley scallion red onion almonds dried cranberries,snacks
1283,32394,butternut squash   couscous,45,18,"['sliced almonds', 'olive oil', 'onions', 'garlic cloves', 'cayenne pepper', 'nutmeg', 'cinnamon', 'diced tomatoes with juice', 'butternut squash', 'raisins', 'vegetable broth', 'salt', 'canned chick-peas', 'fresh parsley', 'water', 'couscous']",16,sliced almonds olive oil onions garlic cloves cayenne pepper nutmeg cinnamon diced tomatoes juice butternut squash raisins vegetable broth salt canned chick peas fresh parsley water couscous,snacks
