Column1,name,minutes,ingredients,n_ingredients,ingredients_clean_processed,type,fat,carbohydrates,fibres,protein,vitamin_A,vitamin_B1,vitamin_B2,vitamin_B6,vitamin_B12,vitamin_B3,vitamin_B9,vitamin_B5,vitamin_C,vitamin_D,vitamin_E,potassium,sodium,calcium,magnesium,iron,zinc,selenium
5791,peanut butter bread ,0,"water, peanut butter, whole wheat flour, gluten flour, bread flour, brown sugar, salt, active dry yeast",8,water peanut butter whole wheat flour gluten flour bread flour brown sugar salt active dry yeast,breakfast,44.62,9.5,10.25,18.38,0.62,14.88,7.75,8.12,0,30.62,8.25,9.62,0,0,11.38,5.62,24.46,1.76,17.12,5.95,15.13,8.25
5792,peanut butter crunch squares,30,"margarine, brown sugar, flour, white sugar, light corn syrup, peanut butter chips, chunky peanut butter, corn flakes",8,margarine brown sugar flour white sugar light corn syrup peanut butter chips chunky peanut butter corn flakes,breakfast,54.25,15.88,10.75,18.04,5.21,13.67,7.5,7.75,0,31.08,7.79,9.42,0.62,1.04,18.33,5.79,11.17,1.54,16.42,6.73,13.88,7.62
4785,maple oatmeal bread,250,"warm water, maple syrup, vegetable oil, salt, quick-cooking oats, bread flour, active dry yeast",7,warm water maple syrup vegetable oil salt quick cooking oats bread flour active dry yeast,breakfast,10.07,17.07,11.71,17,1.43,20.57,14.86,10.14,0,10.14,4.86,6.5,0.71,0,4.29,5.21,25.02,2.29,16.57,10.8,18.15,1.64
5789,peanut butter banana berry blast,5,"apple cider, creamy peanut butter, banana, frozen mixed berries, vanilla, cinnamon, sugar",7,apple cider creamy peanut butter banana frozen mixed berries vanilla cinnamon sugar,breakfast,60.94,7.01,11.58,16.34,5.59,12.63,9.81,9.86,0,33.65,10.57,11,11,0.29,14.14,8.09,3.87,3.88,18.27,6.31,13.61,7.89
5801,peanut butter banana carob milkshake,5,"banana, light vanilla soymilk, carob powder, peanut butter, sugar, ice cubes, cinnamon",7,banana light vanilla soymilk carob powder peanut butter sugar ice cubes cinnamon,breakfast,49.94,6.01,9.29,16.06,1.01,12.06,9.95,9.14,0,33.08,8.71,10.29,2.14,0,12.57,7.23,3.87,4.16,17.7,5.74,13.75,8.18
3146,fruit and grain cereal,6,"old fashioned oats, wheat bran, barley nugget cereal, toasted wheat germ, peach, raisins, dried apricot, nuts",8,old fashioned oats wheat bran barley nugget cereal toasted wheat germ peach raisins dried apricot nuts,breakfast,9,6.12,33.62,16,3.75,46.38,10.75,16.75,0,22.62,16.62,10.62,1.5,0,16.38,10.62,0,2.62,39.88,24.38,47.62,0
3753,healthy oven hash browns,35,"water, raw cashew nuts, onion powder, garlic powder, vegetarian poultry seasoning, onion, frozen shredded hash browns",7,water raw cashew nuts onion powder garlic powder vegetarian poultry seasoning onion frozen shredded hash browns,breakfast,24.57,3.14,4,14.71,0.14,13.71,4.29,23.86,0,12.29,3.14,6.57,5.57,0.57,1.57,5.43,0.86,1.71,15,7.57,10.14,3.57
367,apricot granola,30,"vegan margarine, sucanat, rolled oats, wheat bran, whole wheat flour, sesame seeds, sunflower seeds, nuts, cinnamon, raisins, dried apricot",11,vegan margarine sucanat rolled oats wheat bran whole wheat flour sesame seeds sunflower seeds nuts cinnamon raisins dried apricot,breakfast,28.69,5.46,23.19,13.16,6.07,31.34,9.97,16.27,0,21.93,15.21,8.21,0.55,0.76,35.33,7.36,0.13,2.86,32.48,18.63,22.39,2.02
3777,hearty 3 grain porridge,60,"water, oats, barley, rice",4,water oats barley rice,breakfast,6.5,12.75,13.75,13,0,28.25,6,8.75,0,12.5,5.25,8.5,0,0,3.5,4.5,0,3,21.75,9.75,15,0
1919,cocoa oatmeal with dates,11,"dates, old fashioned oats, unsweetened cocoa powder, salt, water",5,dates old fashioned oats unsweetened cocoa powder salt water,breakfast,13.2,10,25.9,12.9,0,19.5,8.6,8,0,6,6.1,8.2,0.2,0,3.8,11,26.23,3.51,32.4,19.92,15.71,0
8237,the best vegan oat   walnut waffles  or pancakes,30,"unbleached white flour, whole wheat flour, salt, baking powder, ground cinnamon, ground nutmeg, walnuts, quick-cooking oats, vanilla-flavored soymilk, vegetable oil, pure maple syrup",11,unbleached white flour whole wheat flour salt baking powder ground cinnamon ground nutmeg walnuts quick cooking oats vanilla flavored soymilk vegetable oil pure maple syrup,breakfast,26.46,9.78,8.73,12.58,1.01,15.58,10.79,7.09,0,5.96,6,6.23,0.64,0,5.36,4.28,12.48,3.56,13.9,8.66,13.85,0.98
6368,raw cherry vanilla smoothie,3,"banana, frozen cherries, almond milk, vanilla extract, sea salt",5,banana frozen cherries almond milk vanilla extract sea salt,breakfast,37.2,2.6,8.4,11.8,1.4,4.4,21.2,6.2,0,4.4,5.6,3.6,3,0,45.8,6.4,26.73,8.01,18,5.02,9.61,1.2
741,bananaberry baked oatmeal,30,"flax seeds, water, rolled oats, baking powder, cinnamon, salt, bananas, almond milk, vanilla extract, agave nectar, blueberries, walnuts",12,flax seeds water rolled oats baking powder cinnamon salt bananas almond milk vanilla extract agave nectar blueberries walnuts,breakfast,36.3,3.34,10.67,10.78,0.59,12.62,11.22,6.17,0,3.05,7.67,5.42,5.92,0,23.08,5.05,11.15,5.18,18.08,7.81,10.28,0.69
316,apple cinnamon quinoa cereal,20,"quinoa, water, granny smith apple, raisins, almonds, cinnamon, soy margarine, maple syrup",8,quinoa water granny smith apple raisins almonds cinnamon soy margarine maple syrup,breakfast,35.38,11.08,8.88,10.34,4.97,7.59,20.21,5.38,0,3.03,7.79,3.23,1.62,1.04,40.08,5.93,0.37,5.81,21.9,11.56,11.41,0.84
8801,vegan chocolate shake,5,"vanilla-flavored soymilk, bananas, cocoa powder",3,vanilla flavored soymilk bananas cocoa powder,breakfast,17.67,4,20.5,10.17,2.33,4.5,13,9,0,5.67,5.17,6.33,5,0,2,12.67,1.17,6.17,26.33,15.5,14.17,0.67
906,berry breakfast power bar,40,"dessert apples, lemon juice, soft margarine, dark brown sugar, golden syrup, oats, oat bran, ground flax seeds, dried cranberries, dried blueberries, sesame seeds, sunflower seeds, brazil nuts",13,dessert apples lemon juice soft margarine dark brown sugar golden syrup oats oat bran ground flax seeds dried cranberries dried blueberries sesame seeds sunflower seeds brazil nuts,breakfast,40.23,7,10,9.79,3.05,23.79,5.08,11,0,6.74,9.41,4.18,11.77,0.64,32.44,4.95,0.18,2.79,24.26,7.45,13.08,30.69
1127,breakfast  bulgur,18,"bulgur, cold water, dried fruit, nuts, cinnamon, sunflower seeds, brown rice syrup",7,bulgur cold water dried fruit nuts cinnamon sunflower seeds brown rice syrup,breakfast,26.65,10.01,5.44,9.34,0.01,25.34,5.52,15.14,0,16.08,11.57,4.71,0.86,0,41.43,3.66,0.01,3.02,16.84,7.38,13.61,2.32
6188,purple oatmeal,35,"water, steel cut oats, lemon, zest of, ground cinnamon, flax seed, ground nutmeg, blueberries, walnuts",8,water steel cut oats lemon zest ground cinnamon flax seed ground nutmeg blueberries walnuts,breakfast,31.44,3.51,11.63,9.05,0.01,16.8,3.83,5.88,0,2.07,8.5,6.12,14.25,0,6.88,4.08,0.01,3.02,16.49,8.96,9.53,0.28
1793,chocolate oatmeal,25,"rolled oats, water, vanilla, dried blueberries, salt, cinnamon, cocoa powder",7,rolled oats water vanilla dried blueberries salt cinnamon cocoa powder,breakfast,9.51,3.73,16.94,8.84,0.01,13.41,5.95,4.86,0,3.22,4.79,4.71,7.86,0,2.86,6.09,18.75,2.81,21.13,13.61,10.97,0.04
3386,gluten free vegan banana bread,55,"brown rice flour, millet flour, sugar, ground flax seeds, cinnamon, baking powder, guar gum, salt, bananas, water, walnuts",11,brown rice flour millet flour sugar ground flax seeds cinnamon baking powder guar gum salt bananas water walnuts,breakfast,22.41,10.74,6,8.58,0.1,12.22,2.51,7.27,0,6.87,5.64,5,1.36,0,3.55,3.05,11.89,2.11,10.9,8.66,10.21,0.75
4802,maple walnut granola,30,"old fashioned oats, walnuts, ground cinnamon, nutmeg, kosher salt, pure maple syrup, vanilla extract, canola oil",8,old fashioned oats walnuts ground cinnamon nutmeg kosher salt pure maple syrup vanilla extract canola oil,breakfast,31.13,9.82,10.01,8.55,0.01,16.18,8.83,5.12,0,1.69,6.88,5.69,0.75,0,5.88,3.76,16.41,3.15,16.11,8.66,11.41,0.34
2919,favorite smoothie  vegan,10,"soymilk, orange juice, almond butter, flax seeds, avocado, frozen blueberries, frozen strawberries, banana",8,soymilk orange juice almond butter flax seeds avocado frozen blueberries frozen strawberries banana,breakfast,29.75,2.88,8.38,8.5,1.38,6,16.25,7,0,5.88,7.62,5.12,20.5,0,31.38,7.12,0.38,6.12,14,4.62,7.38,0.75
740,banana wheat germ muffins  vegan,42,"soymilk, apple cider vinegar, bananas, canola oil, evaporated cane juice, pure vanilla extract, whole wheat pastry flour, wheat germ, cinnamon, baking powder, salt",11,soymilk apple cider vinegar bananas canola oil evaporated cane juice pure vanilla extract whole wheat pastry flour wheat germ cinnamon baking powder salt,breakfast,4.6,5.19,8,8.4,0.74,21.22,3.7,9.36,0,2.87,6.18,3.73,2,0,8.64,4.33,12.16,2.3,10.09,6.89,22.95,0.75
5467,nutty vegan pancakes,15,"flour, stevia, baking powder, salt, ground flax seeds, almond extract, soy yogurt, soymilk, almond milk, canola oil",10,flour stevia baking powder salt ground flax seeds almond extract soy yogurt soymilk almond milk canola oil,breakfast,19,3.2,5.1,8.2,0.6,4.2,10.8,2.5,0,2.7,2.8,2.3,0.1,0,23,2.7,13.36,4,9.5,3.51,6.4,1.2
5776,peachy licious oatmeal,8,"quick oats, peach juice, banana, honey, peach",5,quick oats peach juice banana honey peach,breakfast,5,6.4,13,8,0.6,18.2,5.2,9.4,0,3.8,5,5.6,4.2,0,4,5.6,0,1.6,18,8.4,8.4,0
2975,five minute vegan pancakes,20,"whole wheat pastry flour, unrefined sugar, baking powder, sea salt, almond milk, apple cider vinegar, natural applesauce, vanilla, semisweet vegan chocolate chips, berries, ground cinnamon",11,whole wheat pastry flour unrefined sugar baking powder sea salt almond milk apple cider vinegar natural applesauce vanilla semisweet vegan chocolate chips berries ground cinnamon,breakfast,17.6,5.55,6.46,7.76,0.55,4.22,10.24,2.82,0,2.87,3.82,2.55,5.73,0,21.55,3.15,12.16,4.39,9.18,4.75,6.13,1.11
8525,tropical quinoa cereal,20,"quinoa, water, banana, strawberries, pineapple, rice milk, raw sugar, soy ice cream",8,quinoa water banana strawberries pineapple rice milk raw sugar soy ice cream,breakfast,15.12,12.5,6.75,7.75,5.75,11,9.12,9.12,0,7.38,8.62,6.25,16.38,0.25,6.12,6.5,0.88,4.88,15.62,8.19,8,0.5
2973,five grain hot cereal,20,"oatmeal, quick-cooking barley, brown rice, whole wheat flour, cornmeal, sesame seeds",6,oatmeal quick cooking barley brown rice whole wheat flour cornmeal sesame seeds,breakfast,1.33,9.67,3.33,6.67,0,8.83,1.5,3.83,0,8.67,1.83,3.67,0,0,0.5,1.5,0,1.17,4.17,2.67,6.5,1
267,gourmet oat bran pancakes,20,"oat bran, whole wheat flour, baking powder, baking soda, ground cinnamon, salt, almond breeze non-dairy beverage, water, vegetable oil, vanilla extract, maple extract, liquid stevia",12,oat bran whole wheat flour baking powder baking soda ground cinnamon salt almond breeze non dairy beverage water vegetable oil vanilla extract maple extract liquid stevia,breakfast,14.96,2.59,4.59,6.37,0.01,3.37,7.55,1.92,0,2.21,2.17,1.42,0,0,19.08,1.97,10.9,2.85,7.74,3.98,5.02,0.85
6165,pumpkin oatmeal,4,"old fashioned oats, water, pumpkin, pumpkin pie spice, brown sugar, splenda sugar substitute",6,old fashioned oats water pumpkin pumpkin pie spice brown sugar splenda sugar substitute,breakfast,3.83,7,9,6.33,4.5,14.33,4.33,5.5,0,2,4.33,4.83,1.83,0,2.5,3.5,0,1.33,13.17,6.58,8.33,0
1806,chocolate smoothy  vegan  eat for health,6,"baby spinach, frozen blueberries, soymilk, banana, dates, cocoa powder, ground flax seeds",7,baby spinach frozen blueberries soymilk banana dates cocoa powder ground flax seeds,breakfast,8.29,6.14,14.79,6.07,6.29,4.21,9.57,7.71,0,5.29,9.64,5.29,16.14,0,3.71,10.29,1.07,5.21,17.29,12.5,7.93,0.29
2513,dosa  sourdough rice crepes,1200,"lentils, long grain rice, fenugreek seeds, salt, baking soda, gingelly oil",6,lentils long grain rice fenugreek seeds salt baking soda gingelly oil,breakfast,0.83,6.17,4.17,5.5,0,6.83,1.33,2.17,0,7.83,2.17,3,0.33,0,0.17,1.67,21.78,1.34,3.33,3.35,6.01,0
1796,chocolate orange green smoothie,5,"banana, dates, orange juice, spinach, ice, cocoa powder, protein powder",7,banana dates orange juice spinach ice cocoa powder protein powder,breakfast,6.86,6.43,14.36,5.36,5.86,6.21,7.43,8.14,0,5.43,9.79,4.86,20.57,0,3.71,10.29,0.64,3.93,17.29,12.36,7.36,0
3561,green scrambled tofu,25,"firm tofu, soy sauce, turmeric, pepper, dried oregano, olive oil, greek olives, sun-dried tomato, spinach",9,firm tofu soy sauce turmeric pepper dried oregano olive oil greek olives sun dried tomato spinach,breakfast,19.85,0.3,4.33,5.15,5.15,2.67,3.67,3.41,0,2.33,5.63,1.52,7.22,0,17.93,2.96,19.33,4.33,6.56,10.96,3.63,0.04
5874,awfully good waffles,10,"white flour, whole wheat flour, baking powder, cinnamon, salt, soymilk, applesauce",7,white flour whole wheat flour baking powder cinnamon salt soymilk applesauce,breakfast,2.51,5.01,3.86,4.63,0.87,4.2,3.52,2.71,0,1.79,1.86,2.43,1.14,0,1.14,1.8,19.11,2.74,2.84,3.82,3.61,1.18
1812,chocolate strawberry banana smoothie,5,"chocolate soymilk, strawberry, banana",3,chocolate soymilk strawberry banana,breakfast,4.67,4.33,4.67,3,2.33,3,7.67,8.33,0,3,6.33,4.33,25.33,0,1.67,6,1,5,5.67,2,2.67,0.67
1810,chocolate soy banana smoothie,5,"banana, chocolate soymilk, ground flax seeds",3,banana chocolate soymilk ground flax seeds,breakfast,4,3.33,2.33,2.67,2.33,2.33,7,7.33,0,2,3,3.33,5,0,1,4.67,1,4.33,4.33,1,2.33,0.67
5562,orananna goodness smoothie  raw food,5,"bananas, orange, orange juice, baby spinach leaves",4,bananas orange orange juice baby spinach leaves,breakfast,1.25,3.75,5.5,2.5,10.25,7.75,7.25,10.75,0,4,13.75,3.5,35.75,0,5.25,7.75,1,4,9,5.75,3,0
7804,sunday morning hash browns potatoes ,30,"russet potatoes, onions, salt, fresh ground black pepper, olive oil",5,russet potatoes onions salt fresh ground black pepper olive oil,breakfast,31.6,1.8,6.8,2,0.67,3,1.4,4,0,2.6,2.2,1.8,5.2,0,25.87,2.6,35.53,2.41,2.8,12.49,1.41,0
7822,super blue green smoothie,6,"blueberries, orange juice, broccoli floret, soy yogurt, banana, cinnamon, honey",7,blueberries orange juice broccoli floret soy yogurt banana cinnamon honey,breakfast,1.08,2.87,5.15,1.91,1.59,4.91,3.52,6.57,0,3.08,7,3.86,38.57,0,2.43,4.51,0.16,3.31,4.27,4.24,1.75,0.04
3428,good morning delight juice  carrot  berries and apple,2,"carrot, red delicious apple, fresh strawberries",3,carrot red delicious apple fresh strawberries,breakfast,1.33,3.67,8.33,1.67,33,2.67,3,4,0,3,8,3.67,22,0,3.67,3.67,0.67,1.67,2.67,1.67,1,0
8703,vegan baked beans a la crock pot,510,"dried navy beans, unsulphured molasses, brown sugar, mustard powder, cayenne, nutritional yeast, liquid smoke, braggs liquid aminos, onions, garlic cloves, sea salt, pepper, water, bay leaves",14,dried navy beans unsulphured molasses brown sugar mustard powder cayenne nutritional yeast liquid smoke braggs liquid aminos onions garlic cloves sea salt pepper water bay leaves,breakfast,0.83,3.37,1.57,1.62,0,2.64,1.2,6.95,0,0.81,0.43,0.93,2.71,0,0.33,2.44,12.21,2.55,3.06,3.27,1.44,0
5603,orange  peach  strawberry and banana smoothie,5,"orange juice, strawberries, peach, banana, orange sherbet",5,orange juice strawberries peach banana orange sherbet,breakfast,1.4,4.4,5.8,1.6,1.2,5.2,3,6.4,0,3.8,6.2,3.2,32.6,0,2.6,5.2,0,1.8,4.8,2.2,1.2,0
5775,peachy peach smoothie  vegan,10,"peaches, ice, soymilk, ground ginger, cinnamon, allspice",6,peaches ice soymilk ground ginger cinnamon allspice,breakfast,2.09,1.18,1.84,1.23,1.35,0.57,3.61,0.5,0,1.26,0.5,1.5,1.33,0,0.83,1.43,0.52,3.19,1.15,2.61,1.21,0.38
5616,oranges in orange syrup,35,"navel oranges, sugar, water, red currant jelly, grand marnier",5,navel oranges sugar water red currant jelly grand marnier,breakfast,0.6,5,6.6,0.8,0.4,2.6,1.6,1.6,0,1,1.8,1,18,0,0.6,2.2,0,1.6,1.4,1.9,0.6,0
8121,tea poached prunes,35,"sugar, tea bags, prunes, lemon zest, kumquats",5,sugar tea bags prunes lemon zest kumquats,breakfast,0.4,5,3,0.6,0.4,1.6,0.8,1.2,0,1.2,1.4,0.8,12.4,0,2.4,2,0,0.6,1.6,1.3,0.4,0
5635,outright oatmeal milk,10,"banana, oatmeal, water, vanilla extract",4,banana oatmeal water vanilla extract,breakfast,0.25,2,1.75,0.5,0.25,1.25,0.75,5,0,1.25,1.75,1,3.5,0,0.5,2.5,0,0.25,2.5,0.75,0.5,0
5064,minneola breakfast smoothie,5,"tangerine, frozen mango chunks, frozen raspberries, soy yogurt, stevia powder, vanilla extract, flax seed oil",7,tangerine frozen mango chunks frozen raspberries soy yogurt stevia powder vanilla extract flax seed oil,breakfast,0.43,1.14,2.43,0.43,1.71,0.71,1,1.14,0,0.86,3.14,0.86,13.86,0,2.57,1.14,0,0.57,1,1.57,0.29,0
5242,mulled pomegranate tea,30,"water, cinnamon sticks, whole cloves, ground ginger, sugar, black tea bags, pomegranate juice, lemon juice",8,water cinnamon sticks whole cloves ground ginger sugar black tea bags pomegranate juice lemon juice,breakfast,0.44,3.01,1.51,0.42,0.01,1.18,0.46,0.88,0,0.57,1.12,0.62,10.5,0,1,0.82,0.14,1.14,1.74,2.14,0.41,0.03
8690,vegan apple shake,10,"apple, water, unsweetened applesauce, cinnamon, vanilla",5,apple water unsweetened applesauce cinnamon vanilla,breakfast,0.31,1.22,2.21,0.28,0.02,0.48,0.33,0.6,0,0.31,0.8,0.4,1.4,0,0.8,0.72,0.02,1.23,0.38,2.73,0.45,0.05
9474,friendly mint infused darjeeling tea,13,"water, of fresh mint, darjeeling tea bags",3,water fresh mint darjeeling tea bags,breakfast,0,0,0,0,0,0,0,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,0
5796,peanut butter maple syrup,8,"maple syrup, peanut butter",2,maple syrup peanut butter,desserts,169.25,32.75,28.5,52,0,39.5,46.5,21.5,0,113.5,26.5,31.75,2.5,0,43.5,20.75,12.25,7.5,58,13.75,52.5,27.75
8968,vegan peanut butter frosting,5,"natural-style peanut butter, maple syrup, flour",3,natural style peanut butter maple syrup flour,desserts,114.5,30.83,24.33,43,0,34.67,32.67,19,0,79,20,24.17,1.67,0,30,15.5,8.17,5.33,43.67,13.5,41,20.5
5798,peanut butter pudding  vegan,10,"extra firm tofu, creamy peanut butter, brown sugar, vanilla extract",4,extra firm tofu creamy peanut butter brown sugar vanilla extract,desserts,110.25,8.25,14.5,35,9.5,21.75,16.25,11.75,0,57.25,15,17.5,0.25,0.5,25,10.75,7,9.25,34.25,10.88,27.25,13.75
1612,chia chocolate pudding  vegan,10,"chia seeds, agave nectar, chocolate almond milk, unsweetened cocoa powder",4,chia seeds agave nectar chocolate almond milk unsweetened cocoa powder,desserts,85,2,56.38,30.62,1.5,17.62,34.75,6.5,0,15.75,13.38,7.25,0.75,0,58.5,15.5,1.12,24.88,62.25,27.12,36.38,5.5
5797,peanut butter pie  vegan,5,"firm silken tofu, peanut butter, sugar, soymilk, vanilla extract, pie crust",6,firm silken tofu peanut butter sugar soymilk vanilla extract pie crust,desserts,61.17,5.67,9.67,23.5,1,14.5,11.67,8,0,38.17,10.17,11.67,0.17,0,16,7.33,4.67,6.83,23,7.25,18.67,9.5
8793,vegan chocolate mousse,10,"silken tofu, almond milk, chocolate chips, vanilla extract",4,silken tofu almond milk chocolate chips vanilla extract,desserts,51,1.5,9.75,22,1.5,6.25,26.75,3.75,0,5,7,4,0.25,0,59.25,6.5,1,14.5,26.25,10.25,16.25,1.5
307,apple butterflies,15,"peanut butter, baby carrots, red apple, celery, decorator sugar",5,peanut butter baby carrots red apple celery decorator sugar,desserts,67.8,8,15.4,21.8,20.2,17.2,11.6,11.2,0,46.8,14.4,15,4.4,0,19,10.2,6.6,3.6,23.8,5.9,18.2,11
1798,chocolate peanut butter frosting  vegan,20,"unsweetened chocolate, smooth peanut butter, water, vanilla, powdered sugar",5,unsweetened chocolate smooth peanut butter water vanilla powdered sugar,desserts,67.4,6.2,10.8,20.8,0,15.4,9.6,8.4,0,45,10.4,12.4,0,0,17,7.2,4.8,2,22,4.9,17.6,11
685,banana   peanut butter ice cream  or pudding    vegan,135,"rice milk, white sugar, cornstarch, peanut butter, vanilla extract, coconut flavoring, bananas",7,rice milk white sugar cornstarch peanut butter vanilla extract coconut flavoring bananas,desserts,67.71,10.57,13.57,19.43,1,16.86,10.57,11,0,39.43,10.71,12.57,2.43,0,13.43,9.14,4.14,4.43,20.86,6.5,18,9.14
705,banana crunch popsicle  raw vegan,20,"bananas, almonds, walnuts, carob powder, dried coconut",5,bananas almonds walnuts carob powder dried coconut,desserts,104.2,3.2,18.8,18.6,0.2,13.6,18.8,9.4,0,5.4,14.6,7.6,3.4,0,53,9.6,0.4,7.6,29,11.4,17.4,2.6
5800,peanut butter  banana  chocolate chip brownies  vegan or not,40,"natural-style peanut butter, bananas, brown sugar, soymilk, vanilla extract, baking powder, flour, chocolate chips",8,natural style peanut butter bananas brown sugar soymilk vanilla extract baking powder flour chocolate chips,desserts,44.25,8.5,9.62,17.12,0.88,13.62,9.25,9.75,0,30.12,8.5,10.12,1.88,0,11.38,6.88,3.38,3,17.25,5.06,14.12,7.88
27,berry truffles,20,"walnuts, dates, frozen raspberries, cocoa powder",4,walnuts dates frozen raspberries cocoa powder,desserts,67.25,9,27.38,15.12,0,14.12,7.75,7.75,0,7,15.12,11.5,14.25,0,9.75,13.75,0.12,5.38,33.5,20.88,18.62,0.5
332,apple oatmeal  crock pot,490,"steel cut oats, oat bran, apples, cinnamon, vanilla, water, cranberry juice, walnuts, wheat germ",9,steel cut oats oat bran apples cinnamon vanilla water cranberry juice walnuts wheat germ,desserts,31.39,5.12,16.45,14.27,0.12,36.71,4.63,12,0,3.06,11.89,7.56,2.33,0,15.78,6.07,0.01,2.91,22.99,12.85,33.58,0.25
5061,mini coconut cream pies   dairy free   vegan,30,"sweetened coconut, soft silken tofu, sugar, cornstarch, light coconut milk, vanilla extract, coconut extract, graham cracker pie crusts",8,sweetened coconut soft silken tofu sugar cornstarch light coconut milk vanilla extract coconut extract graham cracker pie crusts,desserts,32.62,3.25,4.25,14.12,0.75,14.38,5.75,6.12,0,13.38,3.12,4.75,1.12,0.38,3.12,4.75,15.5,4.5,8.25,9.44,9.75,4.88
8944,vegan no chill sugar cookies,30,"cooking oil, sugar, baking powder, soymilk, almond extract, all-purpose flour",6,cooking oil sugar baking powder soymilk almond extract purpose flour,desserts,31.67,8.67,8.5,13.67,1,7,18,4.17,0,4.5,4.67,3.83,0.17,0,38.33,4.5,0.5,6.67,15.83,5.92,10.67,2
908,berry frost pie  raw food,10,"walnuts, almonds, dates, ground cinnamon, blueberries, strawberries, almond milk",7,walnuts almonds dates ground cinnamon blueberries strawberries almond milk,desserts,59.08,5.73,13.44,13.63,0.87,9.63,16.66,5.29,0,4.94,10.71,7.29,8.29,0,37.57,7.66,0.44,8.74,21.27,10.66,12.32,1.18
5379,no cook brownies,360,"almond meal, cocoa powder, sea salt, agave, water, cocoa nibs",6,almond meal cocoa powder sea salt agave water cocoa nibs,desserts,35.83,0.83,14.92,12.25,0,3.58,17.17,2.33,0,4.5,4.25,2.83,0,0,38.17,7,21.86,5.42,23.83,10.93,12.76,0.67
